loan_details_key,term,grade,sub_grade,purpose,title,application_type,initial_list_status
2173,36 months,B,B5,debt_consolidation,Car financing,Individual,w
2174,36 months,B,B5,debt_consolidation,Consolidate,Individual,w
2175,36 months,B,B5,debt_consolidation,Consolidate loan,Individual,w
2176,36 months,B,B5,debt_consolidation,Consolidation,Individual,f
2177,36 months,B,B5,debt_consolidation,Consolidation,Individual,w
2178,36 months,B,B5,debt_consolidation,Consolidation 01,Individual,f
2179,36 months,B,B5,debt_consolidation,Consolidation Loan,Individual,f
2180,36 months,B,B5,debt_consolidation,Consolidation loan,Individual,f
2181,36 months,B,B5,debt_consolidation,Credit Card Consolidation,Individual,f
2182,36 months,B,B5,debt_consolidation,Credit Card Consolidation Loan,Individual,f
2183,36 months,B,B5,debt_consolidation,Credit Card Debt Pay-Off,Individual,f
2184,36 months,B,B5,debt_consolidation,Credit Card Payoff,Individual,f
2185,36 months,B,B5,debt_consolidation,Credit Card Refinance,Individual,f
2186,36 months,B,B5,debt_consolidation,Credit Cards,Individual,f
2187,36 months,B,B5,debt_consolidation,Credit Consolidation,Individual,f
2188,36 months,B,B5,debt_consolidation,Credit Consolidation,Individual,w
2189,36 months,B,B5,debt_consolidation,Credit Debt Consolidation Loan,Individual,w
2190,36 months,B,B5,debt_consolidation,Credit card consolidation,Individual,f
2191,36 months,B,B5,debt_consolidation,Credit card refinancing,Individual,f
2192,36 months,B,B5,debt_consolidation,Credit card refinancing,Individual,w
2193,36 months,B,B5,debt_consolidation,"Credit card, medical bills pay off",Individual,w
2194,36 months,B,B5,debt_consolidation,Credit cards paid off,Individual,f
2195,36 months,B,B5,debt_consolidation,DEBT CONSOLE,Individual,f
2196,36 months,B,B5,debt_consolidation,DEBT CONSOLIATION,Individual,w
2197,36 months,B,B5,debt_consolidation,DEBT CONSOLIDATION,Individual,f
2198,36 months,B,B5,debt_consolidation,DEBT FREE IN FLORIDA,Individual,w
2199,36 months,B,B5,debt_consolidation,Debt,Individual,f
2200,36 months,B,B5,debt_consolidation,Debt,Individual,f
2201,36 months,B,B5,debt_consolidation,Debt Consiladtion/Savings,Individual,f
2202,36 months,B,B5,debt_consolidation,Debt Consoladation,Individual,f
2203,36 months,B,B5,debt_consolidation,Debt Consolidated,Individual,f
2204,36 months,B,B5,debt_consolidation,Debt Consolidation,Individual,f
2205,36 months,B,B5,debt_consolidation,Debt Consolidation,Individual,w
2206,36 months,B,B5,debt_consolidation,Debt Consolidation,Individual,w
2207,36 months,B,B5,debt_consolidation,Debt Consolidation - All,Individual,f
2208,36 months,B,B5,debt_consolidation,Debt Consolidation Loan,Individual,f
2209,36 months,B,B5,debt_consolidation,Debt Consolodation,Individual,f
2210,36 months,B,B5,debt_consolidation,Debt Gone,Individual,f
2211,36 months,B,B5,debt_consolidation,Debt Payoff,Individual,w
2212,36 months,B,B5,debt_consolidation,Debt Relief,Individual,f
2213,36 months,B,B5,debt_consolidation,Debt and personal loan consolidation,Individual,w
2214,36 months,B,B5,debt_consolidation,Debt consolidation,Individual,f
2215,36 months,B,B5,debt_consolidation,Debt consolidation,Individual,w
2216,36 months,B,B5,debt_consolidation,Debt consolidation,Joint App,f
2217,36 months,B,B5,debt_consolidation,Debt consolidation,Joint App,w
2218,36 months,B,B5,debt_consolidation,Debt consolidation,Individual,f
2219,36 months,B,B5,debt_consolidation,Debt consolidation after car accident,Individual,w
2220,36 months,B,B5,debt_consolidation,Debt payoff,Individual,w
2221,36 months,B,B5,debt_consolidation,DebtReductionConsolidation,Individual,f
2222,36 months,B,B5,debt_consolidation,Debtful,Individual,f
2223,36 months,B,B5,debt_consolidation,Eliminate my credit cards,Individual,f
2224,36 months,B,B5,debt_consolidation,Finish it,Individual,w
2225,36 months,B,B5,debt_consolidation,Freedom,Individual,w
2226,36 months,B,B5,debt_consolidation,Funds for financial planning and growth,Individual,w
2227,36 months,B,B5,debt_consolidation,Godsgrace,Individual,w
2228,36 months,B,B5,debt_consolidation,Home improvement,Individual,f
2229,36 months,B,B5,debt_consolidation,Home improvement,Individual,w
2230,36 months,B,B5,debt_consolidation,JcandCc,Individual,w
2231,36 months,B,B5,debt_consolidation,LC Loan,Individual,f
2232,36 months,B,B5,debt_consolidation,Lending Club Loan,Individual,f
2233,36 months,B,B5,debt_consolidation,Lending Club Loan,Individual,w
2234,36 months,B,B5,debt_consolidation,Loan,Individual,f
2235,36 months,B,B5,debt_consolidation,Major purchase,Individual,f
2236,36 months,B,B5,debt_consolidation,Moving and relocation,Individual,f
2237,36 months,B,B5,debt_consolidation,My Loan,Individual,f
2238,36 months,B,B5,debt_consolidation,New Loan,Individual,f
2239,36 months,B,B5,debt_consolidation,New Year Loan,Individual,f
2240,36 months,B,B5,debt_consolidation,Other,Individual,f
2241,36 months,B,B5,debt_consolidation,Other,Individual,w
2242,36 months,B,B5,debt_consolidation,Other,Joint App,w
2243,36 months,B,B5,debt_consolidation,Out of Debt,Individual,w
2244,36 months,B,B5,debt_consolidation,Pay of Debt,Individual,w
2245,36 months,B,B5,debt_consolidation,Pay off,Individual,f
2246,36 months,B,B5,debt_consolidation,Pay off Cards,Individual,f
2247,36 months,B,B5,debt_consolidation,Pay off Cosumer Debt Loan,Individual,f
2248,36 months,B,B5,debt_consolidation,Pay-Off Bills,Individual,f
2249,36 months,B,B5,debt_consolidation,Payment,Individual,f
2250,36 months,B,B5,debt_consolidation,Peace and Freedom Loan,Individual,w
2251,36 months,B,B5,debt_consolidation,Relief,Individual,w
2252,36 months,B,B5,debt_consolidation,Right loan,Individual,w
2253,36 months,B,B5,debt_consolidation,Save my life loan,Individual,f
2254,36 months,B,B5,debt_consolidation,Student Loan Consolidation,Individual,f
2255,36 months,B,B5,debt_consolidation,The Pay-Off,Individual,f
2256,36 months,B,B5,debt_consolidation,Time to Pay It OFF,Individual,f
2257,36 months,B,B5,debt_consolidation,Together Each  Achieve More!,Individual,f
2258,36 months,B,B5,debt_consolidation,cash for bills,Individual,f
2259,36 months,B,B5,debt_consolidation,catchup,Individual,f
2260,36 months,B,B5,debt_consolidation,completely out of debt,Individual,f
2261,36 months,B,B5,debt_consolidation,consolidate,Individual,w
2262,36 months,B,B5,debt_consolidation,consolidation,Individual,f
2263,36 months,B,B5,debt_consolidation,consolidation,Individual,w
2264,36 months,B,B5,debt_consolidation,credit,Individual,f
2265,36 months,B,B5,debt_consolidation,credit card consolidation,Individual,f
2266,36 months,B,B5,debt_consolidation,credit card consolidation,Individual,f
2267,36 months,B,B5,debt_consolidation,credit card consolidation,Individual,w
2268,36 months,B,B5,debt_consolidation,credit cards,Individual,w
2269,36 months,B,B5,debt_consolidation,credit cards Pay Off,Individual,w
2270,36 months,B,B5,debt_consolidation,credit consolidation,Individual,f
2271,36 months,B,B5,debt_consolidation,debt cons.,Individual,f
2272,36 months,B,B5,debt_consolidation,debt consolidatin and home repair,Individual,w
2273,36 months,B,B5,debt_consolidation,debt consolidation,Individual,f
2274,36 months,B,B5,debt_consolidation,debt consolidation,Individual,w
2275,36 months,B,B5,debt_consolidation,debt consolidation loan,Individual,f
2276,36 months,B,B5,debt_consolidation,debt free,Individual,f
2277,36 months,B,B5,debt_consolidation,debt payoff of existing higher ineterest,Individual,f
2278,36 months,B,B5,debt_consolidation,debt refi,Individual,f
2279,36 months,B,B5,debt_consolidation,debtfree,Individual,f
2280,36 months,B,B5,debt_consolidation,end my debt loan,Individual,f
2281,36 months,B,B5,debt_consolidation,freeme,Individual,f
2282,36 months,B,B5,debt_consolidation,getoutdebt,Individual,f
2283,36 months,B,B5,debt_consolidation,justonemore,Individual,w
2284,36 months,B,B5,debt_consolidation,my debt consolidation loan,Individual,f
2285,36 months,B,B5,debt_consolidation,my instant loan,Individual,f
2286,36 months,B,B5,debt_consolidation,newlife,Individual,w
2287,36 months,B,B5,debt_consolidation,out from under,Individual,w
2288,36 months,B,B5,debt_consolidation,outtadebt,Individual,w
2289,36 months,B,B5,debt_consolidation,pay debt,Individual,f
2290,36 months,B,B5,debt_consolidation,pay my debts loan,Individual,w
2291,36 months,B,B5,debt_consolidation,pay off credit card,Individual,f
2292,36 months,B,B5,debt_consolidation,pay off truck and credit card,Individual,w
2293,36 months,B,B5,debt_consolidation,personal,Individual,f
2294,36 months,B,B5,educational,Learning and training,Individual,f
2295,36 months,B,B5,home_improvement,,Individual,f
2296,36 months,B,B5,home_improvement,,Individual,w
2297,36 months,B,B5,home_improvement,,Joint App,f
2298,36 months,B,B5,home_improvement,,Joint App,w
2299,36 months,B,B5,home_improvement,Addition,Individual,f
2300,36 months,B,B5,home_improvement,Basement/Plumbing,Individual,w
2301,36 months,B,B5,home_improvement,Car financing,Individual,w
2302,36 months,B,B5,home_improvement,Credit card refinancing,Individual,f
2303,36 months,B,B5,home_improvement,Credit card refinancing,Individual,w
2304,36 months,B,B5,home_improvement,Debt consolidation,Individual,f
2305,36 months,B,B5,home_improvement,Home Improvement,Individual,f
2306,36 months,B,B5,home_improvement,Home Improvements 2,Individual,w
2307,36 months,B,B5,home_improvement,Home improvement,Individual,f
2308,36 months,B,B5,home_improvement,Home improvement,Individual,w
2309,36 months,B,B5,home_improvement,Home improvement,Joint App,f
2310,36 months,B,B5,home_improvement,Home improvement,Joint App,w
2311,36 months,B,B5,home_improvement,Home improvement loan,Individual,w
2312,36 months,B,B5,home_improvement,House,Individual,w
2313,36 months,B,B5,home_improvement,help,Individual,f
2314,36 months,B,B5,home_improvement,kitchen,Individual,w
2315,36 months,B,B5,home_improvement,new kitchen for momma!,Individual,w
2316,36 months,B,B5,home_improvement,redo closets loan,Individual,w
2317,36 months,B,B5,house,,Individual,f
2318,36 months,B,B5,house,,Individual,w
2319,36 months,B,B5,house,Home buying,Individual,f
2320,36 months,B,B5,house,Home buying,Individual,w
2321,36 months,B,B5,house,Home buying,Joint App,f
2322,36 months,B,B5,house,Home buying,Joint App,w
2323,36 months,B,B5,house,Other,Individual,f
2324,36 months,B,B5,major_purchase,,Individual,f
2325,36 months,B,B5,major_purchase,,Individual,w
2326,36 months,B,B5,major_purchase,Car financing,Individual,f
2327,36 months,B,B5,major_purchase,Credit card refinancing,Individual,w
2328,36 months,B,B5,major_purchase,Debt consolidation,Individual,f
2329,36 months,B,B5,major_purchase,Debt consolidation,Individual,w
2330,36 months,B,B5,major_purchase,Major purchase,Individual,f
2331,36 months,B,B5,major_purchase,Major purchase,Individual,w
2332,36 months,B,B5,major_purchase,Major purchase,Joint App,f
2333,36 months,B,B5,major_purchase,Major purchase,Joint App,w
2334,36 months,B,B5,major_purchase,Other,Individual,w
2335,36 months,B,B5,major_purchase,cyberpower,Individual,f
2336,36 months,B,B5,medical,,Individual,f
2337,36 months,B,B5,medical,,Individual,w
2338,36 months,B,B5,medical,,Joint App,w
2339,36 months,B,B5,medical,Debt consolidation,Individual,w
2340,36 months,B,B5,medical,Medical expenses,Individual,f
2341,36 months,B,B5,medical,Medical expenses,Individual,w
2342,36 months,B,B5,medical,Medical expenses,Joint App,f
2343,36 months,B,B5,medical,Medical expenses,Joint App,w
2344,36 months,B,B5,medical,Personal Expenses,Individual,f
2345,36 months,B,B5,medical,odymeds,Individual,w
2346,36 months,B,B5,moving,,Individual,f
2347,36 months,B,B5,moving,,Individual,w
2348,36 months,B,B5,moving,Credit card refinancing,Individual,f
2349,36 months,B,B5,moving,Moving Loan,Individual,f
2350,36 months,B,B5,moving,Moving and relocation,Individual,f
2351,36 months,B,B5,moving,Moving and relocation,Individual,w
2352,36 months,B,B5,moving,Moving and relocation,Joint App,f
2353,36 months,B,B5,moving,Moving and relocation,Joint App,w
2354,36 months,B,B5,other,,Individual,f
2355,36 months,B,B5,other,,Individual,w
2356,36 months,B,B5,other,,Joint App,w
2357,36 months,B,B5,other,Business vehicle repair,Individual,f
2358,36 months,B,B5,other,Consolidation and auto repair,Individual,f
2359,36 months,B,B5,other,Credit card refinancing,Individual,f
2360,36 months,B,B5,other,Debt consolidation,Individual,f
2361,36 months,B,B5,other,Debt consolidation,Individual,w
2362,36 months,B,B5,other,Finance,Individual,w
2363,36 months,B,B5,other,Hawaii,Individual,w
2364,36 months,B,B5,other,Loan 1,Individual,f
2365,36 months,B,B5,other,MY LOAN,Individual,f
2366,36 months,B,B5,other,My loan,Individual,f
2367,36 months,B,B5,other,Other,Individual,f
2368,36 months,B,B5,other,Other,Individual,w
2369,36 months,B,B5,other,Other,Joint App,f
2370,36 months,B,B5,other,Other,Joint App,w
2371,36 months,B,B5,other,Personal loan,Individual,f
2372,36 months,B,B5,other,Vacation time,Individual,f
2373,36 months,B,B5,other,Wedding loan,Individual,f
2374,36 months,B,B5,renewable_energy,Green loan,Individual,f
2375,36 months,B,B5,renewable_energy,Green loan,Individual,w
2376,36 months,B,B5,renewable_energy,Green loan,Joint App,w
2377,36 months,B,B5,small_business,,Individual,f
2378,36 months,B,B5,small_business,,Individual,w
2379,36 months,B,B5,small_business,Business,Individual,f
2380,36 months,B,B5,small_business,Business,Individual,w
2381,36 months,B,B5,small_business,Business,Joint App,f
2382,36 months,B,B5,small_business,Business,Joint App,w
2383,36 months,B,B5,small_business,Business expansion for new contract,Individual,w
2384,36 months,B,B5,small_business,BusinessLoan,Individual,w
2385,36 months,B,B5,small_business,Credit card refinancing,Individual,f
2386,36 months,B,B5,small_business,Debt consolidation,Individual,f
2387,36 months,B,B5,small_business,Marketing,Individual,f
2388,36 months,B,B5,vacation,,Individual,f
2389,36 months,B,B5,vacation,,Individual,w
2390,36 months,B,B5,vacation,Debt consolidation,Individual,f
2391,36 months,B,B5,vacation,Pay off 2007 Jeep Commander,Individual,w
2392,36 months,B,B5,vacation,Vacation,Individual,f
2393,36 months,B,B5,vacation,Vacation,Individual,w
2394,36 months,B,B5,vacation,Vacation,Joint App,f
2395,36 months,B,B5,vacation,Vacation,Joint App,w
2396,36 months,B,B5,wedding,Other,Individual,w
2397,36 months,B,B5,wedding,Other,Joint App,w
2398,36 months,C,C1,car,,Individual,f
2399,36 months,C,C1,car,,Individual,w
2400,36 months,C,C1,car,Car financing,Individual,f
2401,36 months,C,C1,car,Car financing,Individual,w
2402,36 months,C,C1,car,Car financing,Joint App,f
2403,36 months,C,C1,car,Car financing,Joint App,w
2404,36 months,C,C1,car,Golf Cart,Individual,f
2405,36 months,C,C1,credit_card,,Individual,f
2406,36 months,C,C1,credit_card,,Individual,w
2407,36 months,C,C1,credit_card,,Joint App,f
2408,36 months,C,C1,credit_card,,Joint App,w
2409,36 months,C,C1,credit_card,2freedom,Individual,w
2410,36 months,C,C1,credit_card,Business,Individual,f
2411,36 months,C,C1,credit_card,Business,Individual,w
2412,36 months,C,C1,credit_card,CC Consolidation,Individual,f
2413,36 months,C,C1,credit_card,CC Refinance,Individual,w
2414,36 months,C,C1,credit_card,CC refi,Individual,f
2415,36 months,C,C1,credit_card,Consolidation,Individual,w
2416,36 months,C,C1,credit_card,Consolidation 2,Individual,f
2417,36 months,C,C1,credit_card,Credit Card Loan,Individual,f
2418,36 months,C,C1,credit_card,Credit Card Payment,Individual,f
2419,36 months,C,C1,credit_card,Credit Card Payoff,Individual,f
2420,36 months,C,C1,credit_card,Credit Card Refinance,Individual,w
2421,36 months,C,C1,credit_card,Credit Card Refinance Loan,Individual,w
2422,36 months,C,C1,credit_card,Credit Card Refinancing,Individual,f
2423,36 months,C,C1,credit_card,Credit Refinance,Individual,f
2424,36 months,C,C1,credit_card,Credit card juggler,Individual,f
2425,36 months,C,C1,credit_card,Credit card pay down,Individual,f
2426,36 months,C,C1,credit_card,Credit card pay off DC,Individual,w
2427,36 months,C,C1,credit_card,Credit card refinancing,Individual,f
2428,36 months,C,C1,credit_card,Credit card refinancing,Individual,w
2429,36 months,C,C1,credit_card,Credit card refinancing,Joint App,f
2430,36 months,C,C1,credit_card,Credit card refinancing,Joint App,w
2431,36 months,C,C1,credit_card,CreditCardRefinance,Individual,f
2432,36 months,C,C1,credit_card,Creditcard Reducation,Individual,f
2433,36 months,C,C1,credit_card,Creditcardloan,Individual,f
2434,36 months,C,C1,credit_card,Debt Consolidation,Individual,f
2435,36 months,C,C1,credit_card,Debt consolidation,Individual,f
2436,36 months,C,C1,credit_card,Debt consolidation,Individual,w
2437,36 months,C,C1,credit_card,Debt consolidation,Joint App,f
2438,36 months,C,C1,credit_card,Debtfree,Individual,f
2439,36 months,C,C1,credit_card,Financial Loan,Individual,f
2440,36 months,C,C1,credit_card,Freedom,Individual,f
2441,36 months,C,C1,credit_card,Funds,Individual,f
2442,36 months,C,C1,credit_card,Home improvement,Individual,w
2443,36 months,C,C1,credit_card,Investment Loan,Individual,f
2444,36 months,C,C1,credit_card,Lending Loan,Individual,f
2445,36 months,C,C1,credit_card,LendingClub,Individual,w
2446,36 months,C,C1,credit_card,Loan for credit cards,Individual,f
2447,36 months,C,C1,credit_card,Medical Credit Cards,Individual,f
2448,36 months,C,C1,credit_card,New  start,Individual,w
2449,36 months,C,C1,credit_card,Other,Individual,f
2450,36 months,C,C1,credit_card,Other,Individual,w
2451,36 months,C,C1,credit_card,Pay Off Bills,Individual,f
2452,36 months,C,C1,credit_card,Pay Off CC,Individual,f
2453,36 months,C,C1,credit_card,Piece of Mind,Individual,f
2454,36 months,C,C1,credit_card,Refi,Individual,f
2455,36 months,C,C1,credit_card,Refinance loan,Individual,f
2456,36 months,C,C1,credit_card,The invester,Individual,f
2457,36 months,C,C1,credit_card,best money spend,Individual,f
2458,36 months,C,C1,credit_card,clean credit,Individual,f
2459,36 months,C,C1,credit_card,consolidation,Individual,f
2460,36 months,C,C1,credit_card,credit card,Individual,f
2461,36 months,C,C1,credit_card,credit card loan,Individual,w
2462,36 months,C,C1,credit_card,credit card payoff and land purchase,Individual,f
2463,36 months,C,C1,credit_card,credit card refinancing,Individual,f
2464,36 months,C,C1,credit_card,credit cards,Individual,w
2465,36 months,C,C1,credit_card,credit debt,Individual,f
2466,36 months,C,C1,credit_card,debt consolidation,Individual,f
2467,36 months,C,C1,credit_card,get ride of credit cards,Individual,f
2468,36 months,C,C1,credit_card,new,Individual,f
2469,36 months,C,C1,credit_card,ready,Individual,w
2470,36 months,C,C1,credit_card,repaycards,Individual,w
2471,36 months,C,C1,debt_consolidation,,Individual,f
2472,36 months,C,C1,debt_consolidation,,Individual,w
2473,36 months,C,C1,debt_consolidation,,Joint App,f
2474,36 months,C,C1,debt_consolidation,,Joint App,w
2475,36 months,C,C1,debt_consolidation,2nd Consolidate,Individual,f
2476,36 months,C,C1,debt_consolidation,Back on our Feet!,Individual,w
2477,36 months,C,C1,debt_consolidation,Be Free Loan,Individual,w
2478,36 months,C,C1,debt_consolidation,Bills Bills Bills,Individual,f
2479,36 months,C,C1,debt_consolidation,CREDITCARDCONSOLIDATION,Individual,f
2480,36 months,C,C1,debt_consolidation,Car financing,Individual,w
2481,36 months,C,C1,debt_consolidation,Card Consolidation,Individual,f
2482,36 months,C,C1,debt_consolidation,Comeback,Individual,w
2483,36 months,C,C1,debt_consolidation,Consolidate & Windows,Individual,f
2484,36 months,C,C1,debt_consolidation,Consolidate Credit Card Balances,Individual,f
2485,36 months,C,C1,debt_consolidation,Consolidate and Save,Individual,f
2486,36 months,C,C1,debt_consolidation,Consolidation,Individual,f
2487,36 months,C,C1,debt_consolidation,Consolidation Loan,Individual,w
2488,36 months,C,C1,debt_consolidation,Credit Card Pay Off,Individual,w
2489,36 months,C,C1,debt_consolidation,Credit Card consolidation,Individual,f
2490,36 months,C,C1,debt_consolidation,Credit Card elimination,Individual,f
2491,36 months,C,C1,debt_consolidation,Credit card consolidation,Individual,f
2492,36 months,C,C1,debt_consolidation,Credit card consolidation loan,Individual,f
2493,36 months,C,C1,debt_consolidation,Credit card refinancing,Individual,f
2494,36 months,C,C1,debt_consolidation,Credit card refinancing,Individual,w
2495,36 months,C,C1,debt_consolidation,Credit cards,Individual,f
2496,36 months,C,C1,debt_consolidation,DC loan,Individual,f
2497,36 months,C,C1,debt_consolidation,DEBT CONSOLIDATION,Individual,f
2498,36 months,C,C1,debt_consolidation,Debt,Individual,f
2499,36 months,C,C1,debt_consolidation,Debt Consol,Individual,f
2500,36 months,C,C1,debt_consolidation,Debt Consolidation,Individual,f
2501,36 months,C,C1,debt_consolidation,Debt Consolidation,Individual,w
2502,36 months,C,C1,debt_consolidation,Debt Consolidation Loan,Individual,f
2503,36 months,C,C1,debt_consolidation,Debt Eraser,Individual,f
2504,36 months,C,C1,debt_consolidation,Debt Free,Individual,f
2505,36 months,C,C1,debt_consolidation,Debt Free,Individual,w
2506,36 months,C,C1,debt_consolidation,Debt Free at last,Individual,f
2507,36 months,C,C1,debt_consolidation,Debt Killer,Individual,f
2508,36 months,C,C1,debt_consolidation,Debt Payment Loan,Individual,w
2509,36 months,C,C1,debt_consolidation,Debt Refi,Individual,f
2510,36 months,C,C1,debt_consolidation,Debt Relief,Individual,w
2511,36 months,C,C1,debt_consolidation,Debt consolidated,Individual,f
2512,36 months,C,C1,debt_consolidation,Debt consolidation,Individual,f
2513,36 months,C,C1,debt_consolidation,Debt consolidation,Individual,w
2514,36 months,C,C1,debt_consolidation,Debt consolidation,Joint App,f
2515,36 months,C,C1,debt_consolidation,Debt consolidation,Joint App,w
2516,36 months,C,C1,debt_consolidation,Debt consolidation,Individual,f
2517,36 months,C,C1,debt_consolidation,Debt consolidation,Individual,w
2518,36 months,C,C1,debt_consolidation,Debt payoff,Individual,w
2519,36 months,C,C1,debt_consolidation,Debt reduction,Individual,f
2520,36 months,C,C1,debt_consolidation,Fresh Loan,Individual,f
2521,36 months,C,C1,debt_consolidation,Get Out of Debt,Individual,w
2522,36 months,C,C1,debt_consolidation,Goodbye Credit Cards,Individual,f
2523,36 months,C,C1,debt_consolidation,Great,Individual,f
2524,36 months,C,C1,debt_consolidation,Home improvement,Individual,f
2525,36 months,C,C1,debt_consolidation,Home improvement,Individual,w
2526,36 months,C,C1,debt_consolidation,LENDING CLUB CONSOLIDATION,Individual,f
2527,36 months,C,C1,debt_consolidation,Less debt,Individual,w
2528,36 months,C,C1,debt_consolidation,Loan 1,Individual,w
2529,36 months,C,C1,debt_consolidation,Loan consolidation,Individual,f
2530,36 months,C,C1,debt_consolidation,Loan1,Individual,f
2531,36 months,C,C1,debt_consolidation,Lower rate,Individual,w
2532,36 months,C,C1,debt_consolidation,Major purchase,Individual,f
2533,36 months,C,C1,debt_consolidation,Major purchase,Individual,w
2534,36 months,C,C1,debt_consolidation,Medical expenses,Individual,f
2535,36 months,C,C1,debt_consolidation,Medical expenses,Individual,w
2536,36 months,C,C1,debt_consolidation,My Happy Loan,Individual,f
2537,36 months,C,C1,debt_consolidation,New Year,Individual,f
2538,36 months,C,C1,debt_consolidation,New beginning,Individual,w
2539,36 months,C,C1,debt_consolidation,Other,Individual,f
2540,36 months,C,C1,debt_consolidation,Other,Individual,w
2541,36 months,C,C1,debt_consolidation,Pay It All Off,Individual,f
2542,36 months,C,C1,debt_consolidation,Pay- off credit cards,Individual,w
2543,36 months,C,C1,debt_consolidation,Payoff,Individual,f
2544,36 months,C,C1,debt_consolidation,Payoff Bills,Individual,f
2545,36 months,C,C1,debt_consolidation,Payoff Debt,Individual,f
2546,36 months,C,C1,debt_consolidation,Personal Loan,Individual,f
2547,36 months,C,C1,debt_consolidation,Regatta,Individual,w
2548,36 months,C,C1,debt_consolidation,Second,Individual,f
2549,36 months,C,C1,debt_consolidation,Small Loan,Individual,f
2550,36 months,C,C1,debt_consolidation,Taxes,Individual,w
2551,36 months,C,C1,debt_consolidation,Timely Debt Consolidation,Individual,f
2552,36 months,C,C1,debt_consolidation,better days to come,Individual,f
2553,36 months,C,C1,debt_consolidation,clear my way,Individual,f
2554,36 months,C,C1,debt_consolidation,consol,Individual,f
2555,36 months,C,C1,debt_consolidation,consolidate,Individual,f
2556,36 months,C,C1,debt_consolidation,consolidate,Individual,w
2557,36 months,C,C1,debt_consolidation,consolidation,Individual,f
2558,36 months,C,C1,debt_consolidation,consolidation loan,Individual,f
2559,36 months,C,C1,debt_consolidation,credit cards payoff,Individual,f
2560,36 months,C,C1,debt_consolidation,debt,Individual,f
2561,36 months,C,C1,debt_consolidation,debt condolidation loan,Individual,w
2562,36 months,C,C1,debt_consolidation,debt consolidate,Individual,w
2563,36 months,C,C1,debt_consolidation,debt consolidation,Individual,f
2564,36 months,C,C1,debt_consolidation,debt consolidation,Individual,w
2565,36 months,C,C1,debt_consolidation,debt consolidation,Individual,f
2566,36 months,C,C1,debt_consolidation,debt consolidation loan,Individual,w
2567,36 months,C,C1,debt_consolidation,debt consolidation plan,Individual,f
2568,36 months,C,C1,debt_consolidation,debt loan,Individual,f
2569,36 months,C,C1,debt_consolidation,debtcon,Individual,f
2570,36 months,C,C1,debt_consolidation,freedom,Individual,w
2571,36 months,C,C1,debt_consolidation,help me,Individual,f
2572,36 months,C,C1,debt_consolidation,home improvements,Individual,w
2573,36 months,C,C1,debt_consolidation,onepayment,Individual,w
2574,36 months,C,C1,debt_consolidation,organise,Individual,f
2575,36 months,C,C1,debt_consolidation,pay off all bills,Individual,f
2576,36 months,C,C1,debt_consolidation,pay off cards,Individual,f
2577,36 months,C,C1,debt_consolidation,taxes,Individual,f
2578,36 months,C,C1,debt_consolidation,wedding room,Individual,f
2579,36 months,C,C1,home_improvement,,Individual,f
2580,36 months,C,C1,home_improvement,,Individual,w
2581,36 months,C,C1,home_improvement,,Joint App,f
2582,36 months,C,C1,home_improvement,,Joint App,w
2583,36 months,C,C1,home_improvement,Bathroom,Individual,f
2584,36 months,C,C1,home_improvement,Credit card refinancing,Individual,f
2585,36 months,C,C1,home_improvement,Credit card refinancing,Individual,w
2586,36 months,C,C1,home_improvement,Debt consolidation,Individual,f
2587,36 months,C,C1,home_improvement,HOME IMPROVMENT,Individual,f
2588,36 months,C,C1,home_improvement,Home,Individual,w
2589,36 months,C,C1,home_improvement,Home Improvements,Individual,f
2590,36 months,C,C1,home_improvement,Home improvement,Individual,f
2591,36 months,C,C1,home_improvement,Home improvement,Individual,w
2592,36 months,C,C1,home_improvement,Home improvement,Joint App,f
2593,36 months,C,C1,home_improvement,Home improvement,Joint App,w
2594,36 months,C,C1,home_improvement,Other,Individual,f
2595,36 months,C,C1,home_improvement,Vacation,Individual,w
2596,36 months,C,C1,home_improvement,beautify my home,Individual,w
2597,36 months,C,C1,home_improvement,home improvement,Individual,f
2598,36 months,C,C1,home_improvement,my home,Individual,f
2599,36 months,C,C1,home_improvement,remodeling kitchen and finish basement,Individual,f
2600,36 months,C,C1,house,,Individual,w
2601,36 months,C,C1,house,Home buying,Individual,f
2602,36 months,C,C1,house,Home buying,Individual,w
2603,36 months,C,C1,house,Home buying,Joint App,f
2604,36 months,C,C1,house,Home buying,Joint App,w
2605,36 months,C,C1,major_purchase,,Individual,f
2606,36 months,C,C1,major_purchase,,Individual,w
2607,36 months,C,C1,major_purchase,,Joint App,f
2608,36 months,C,C1,major_purchase,,Joint App,w
2609,36 months,C,C1,major_purchase,Debt consolidation,Individual,f
2610,36 months,C,C1,major_purchase,Home improvement,Individual,w
2611,36 months,C,C1,major_purchase,Major purchase,Individual,f
2612,36 months,C,C1,major_purchase,Major purchase,Individual,w
2613,36 months,C,C1,major_purchase,Major purchase,Joint App,f
2614,36 months,C,C1,major_purchase,Major purchase,Joint App,w
2615,36 months,C,C1,major_purchase,Need This Loan,Individual,f
2616,36 months,C,C1,major_purchase,Other,Individual,f
2617,36 months,C,C1,medical,,Individual,f
2618,36 months,C,C1,medical,,Individual,w
2619,36 months,C,C1,medical,BetterHealth,Individual,f
2620,36 months,C,C1,medical,Medical expenses,Individual,f
2621,36 months,C,C1,medical,Medical expenses,Individual,w
2622,36 months,C,C1,medical,Medical expenses,Joint App,f
2623,36 months,C,C1,medical,Medical expenses,Joint App,w
